MTurkID,Algorithm,Query,Rating,Time Spent(s)
test,09gfp,RecipeforMacandCheese,-1,15
test,09gfp,Topnews,1,0
test,09gfp,Universityrankings2019,2,0
test,09gfp,Upcomingmarvelmovies,3,1
test,09gfp,Amazonprime,4,0
test,09gfp,Worldhealthorganization,5,5
test,09gfp,Billboardtop100,1,1
test,09gfp,Worldseries2019,2,0
test,09gfp,Mustseemovies,3,0
test,09gfp,Mustseemovies,4,0
test,0g,Mustseemovies,5,0
test,0g,Bestplacestovisitin2019,1,0
test,0g,MostpopularfoodsinAmerica,2,0
test,0g,Daylightsavingstime,3,0
test,0g,GlobalWarming,4,0
test,0g,Bestrestaurantsinsanfrancisco,5,0
test,0g,HowisAlmondmilkmade,1,0
test,0g,Whatisagoodcreditscore,2,1
test,0g,Top10easiestrecipes,3,0
test,0g,Lastminutehalloweencostumeideas,4,0
test,05gfp,Bestsmartphone2019,5,0
test,05gfp,RecipeforMacandCheese,1,0
test,05gfp,Topnews,2,1
test,05gfp,Universityrankings2019,3,0
test,05gfp,Upcomingmarvelmovies,4,0
test,05gfp,Amazonprime,5,0
test,05gfp,Worldhealthorganization,1,0
test,05gfp,Billboardtop100,2,0
test,05gfp,Worldseries2019,3,0
test,05gfp,Mustseemovies,4,0
test,01gfp,Mustseemovies,5,0
test,01gfp,Bestplacestovisitin2019,1,0
test,01gfp,MostpopularfoodsinAmerica,2,0
test,01gfp,Daylightsavingstime,3,0
test,01gfp,GlobalWarming,4,0
test,01gfp,Bestrestaurantsinsanfrancisco,5,0
test,01gfp,HowisAlmondmilkmade,1,0
test,01gfp,Whatisagoodcreditscore,2,0
test,01gfp,Top10easiestrecipes,3,0
test,01gfp,Lastminutehalloweencostumeideas,4,0
